/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')
Traceback (most recent call last):
  File "main.py", line 518, in <module>
    store = cox.store.Store(args.out_dir, args.exp_name)
  File "/home/yf22/.local/lib/python3.8/site-packages/cox/store.py", line 90, in __init__
    self.store = pd.HDFStore(os.path.join(exp_path, STORE_BASENAME), mode=mode)
  File "/opt/apps/software/SciPy-bundle/2020.11-foss-2020b/lib/python3.8/site-packages/pandas/io/pytables.py", line 553, in __init__
    self.open(mode=mode, **kwargs)
  File "/opt/apps/software/SciPy-bundle/2020.11-foss-2020b/lib/python3.8/site-packages/pandas/io/pytables.py", line 697, in open
    self._handle = tables.open_file(self._path, self._mode, **kwargs)
  File "/home/yf22/.local/lib/python3.8/site-packages/tables/file.py", line 300, in open_file
    return File(filename, mode, title, root_uep, filters, **kwargs)
  File "/home/yf22/.local/lib/python3.8/site-packages/tables/file.py", line 750, in __init__
    self._
  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 4.6948 | NatPrec1 0.670 | NatPrec5 5.580 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:05,  1.42it/s]
Train Epoch:0 | Loss 4.6892 | NatPrec1 0.781 | NatPrec5 6.055 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:05,  1.42it/s]
Train Epoch:0 | Loss 4.6892 | NatPrec1 0.781 | NatPrec5 6.055 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:05,  1.42it/s]
Train Epoch:0 | Loss 4.6892 | NatPrec1 0.781 | NatPrec5 6.055 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:13,  1.79it/s]
Train Epoch:0 | Loss 4.6862 | NatPrec1 0.868 | NatPrec5 5.903 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:13,  1.79it/s]
Train Epoch:0 | Loss 4.6862 | NatPrec1 0.868 | NatPrec5 5.903 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:13,  1.79it/s]
Train Epoch:0 | Loss 4.6862 | NatPrec1 0.868 | NatPrec5 5.903 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<05:58,  2.16it/s]
Train Epoch:0 | Loss 4.6793 | NatPrec1 0.938 | NatPrec5 5.781 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<05:58,  2.16it/s]
Train Epoch:0 | Loss 4.6793 | NatPrec1 0.938 | NatPrec5 5.781 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<05:58,  2.16it/s]
Train Epoch:0 | Loss 4.6793 | NatPrec1 0.938 | NatPrec5 5.781 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:07,  2.51it/s]
Train Epoch:0 | Loss 4.6766 | NatPrec1 0.852 | NatPrec5 5.824 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:07,  2.51it/s]
Train Epoch:0 | Loss 4.6766 | NatPrec1 0.852 | NatPrec5 5.824 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:07,  2.51it/s]
Train Epoch:0 | Loss 4.6766 | NatPrec1 0.852 | NatPrec5 5.824 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:32,  2.83it/s]
Train Epoch:0 | Loss 4.6764 | NatPrec1 0.911 | NatPrec5 5.729 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:32,  2.83it/s]
Train Epoch:0 | Loss 4.6764 | NatPrec1 0.911 | NatPrec5 5.729 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:32,  2.83it/s]
Train Epoch:0 | Loss 4.6764 | NatPrec1 0.911 | NatPrec5 5.729 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:07,  3.11it/s]
