[Found existing metadata in store. Skipping this part.]
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  90.00000085269986 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
Dataset: cifar10 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 2.3181 | NatPrec1 11.979 | NatPrec5 55.208 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:31,  1.03it/s]
Train Epoch:0 | Loss 2.3116 | NatPrec1 11.830 | NatPrec5 56.027 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:31,  1.03it/s]
Train Epoch:0 | Loss 2.3116 | NatPrec1 11.830 | NatPrec5 56.027 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:31,  1.03it/s]
Train Epoch:0 | Loss 2.3116 | NatPrec1 11.830 | NatPrec5 56.027 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:29,  1.36it/s]
Train Epoch:0 | Loss 2.3059 | NatPrec1 12.305 | NatPrec5 56.836 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:29,  1.36it/s]
Train Epoch:0 | Loss 2.3059 | NatPrec1 12.305 | NatPrec5 56.836 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:29,  1.36it/s]
Train Epoch:0 | Loss 2.3059 | NatPrec1 12.305 | NatPrec5 56.836 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:31,  1.72it/s]
Train Epoch:0 | Loss 2.2966 | NatPrec1 14.062 | NatPrec5 57.639 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:31,  1.72it/s]
Train Epoch:0 | Loss 2.2966 | NatPrec1 14.062 | NatPrec5 57.639 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:31,  1.72it/s]
Train Epoch:0 | Loss 2.2966 | NatPrec1 14.062 | NatPrec5 57.639 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:10,  2.09it/s]
Train Epoch:0 | Loss 2.2839 | NatPrec1 15.312 | NatPrec5 58.750 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:10,  2.09it/s]
Train Epoch:0 | Loss 2.2839 | NatPrec1 15.312 | NatPrec5 58.750 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:10,  2.09it/s]
Train Epoch:0 | Loss 2.2839 | NatPrec1 15.312 | NatPrec5 58.750 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:15,  2.45it/s]
Train Epoch:0 | Loss 2.2688 | NatPrec1 17.472 | NatPrec5 59.943 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:15,  2.45it/s]
Train Epoch:0 | Loss 2.2688 | NatPrec1 17.472 | NatPrec5 59.943 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:15,  2.45it/s]
Train Epoch:0 | Loss 2.2688 | NatPrec1 17.472 | NatPrec5 59.943 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:38,  2.77it/s]
Train Epoch:0 | Loss 2.2599 | NatPrec1 18.750 | NatPrec5 60.417 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:38,  2.77it/s]
